node1,node2,node3
human,add,spu
price,adjective,some_price_adj
food_flavor,adjective,some_food_flavor
palatability,adjective,some_food_palatability
speed,adjective,some_speed_adj
act,process,start
spu,attribute,sales_volume
spu,attribute,spu_name
spu,attribute,price
spu,be_metered,quantity
spu,attribute,spu_type
food,attribute,food_name
food,attribute,cooking_method
food,attribute,food_ingredient_type
food,attribute,food_flavor
food,attribute,palatability
food,be_metered,quantity
beverage,attribute,alcohol_content
restaurant,attribute,restaurant_name
restaurant,attribute,address
human,attribute,ethnicity
ethnicity,enum,some_ethnicity
act,attribute,speed
human,buy,spu
human,check,order_n
rider,deliver,take_out
human,drink,beverage
spu_type,enum,some_spu_type
food_ingredient_type,adjective,some_ingredient_type
alcohol_content,enum,some_content
weather,enum,some_weather
direction,enum,some_direction
frequency,enum,some_frequency
degree,enum,some_degree
restaurant,have,food
restaurant,make,beverage
human,order,spu
human,order,take_out
spu,quantified,个
spu,quantified,份
spu,quantified,件
price,quantified,元
price,quantified,块
price,quantified,角
price,quantified,毛
price,quantified,分
beverage,quantified,杯
restaurant,quantified,家
human,quantified,个
human,quantified,位
human,recommend,food
human,recommend,restaurant
restaurant,sell,spu
sales_volume,numerate,some_sales_volume
spu_name,value,some_spu_name
price,numerate,some_price
quantity,numerate,some_quantity
food_name,value,some_food_name
cooking_method,numerate,some_cooking_method
food_ingredient,value,some_food_ingredient
restaurant_name,value,some_shop_name
address,numerate,some_address
speed,value,some_speed
time,value,some_time
human,be_metered,quantity
take_out,quantified,个
spu,attribute,rating
rating,numerate,some_rating
quantity,adjective,some_quantity_adj
human,change,spu
human,change,restaurant
value,by,perception
perception,enum,some_perception
adjective,by,perception
human,place,order_n
act,process,middle
act,process,end
act,process,happened
value,condition,some_condition
adjective,condition,some_condition
prep,condition,some_condition
act,at,some_time
act,at,some_address
act,at,some_weather
act,by,some_frequency
act,to,some_time
act,to,some_direction
act,from,some_address
act,from,some_time
adjective,by,some_degree
value,at,some_time
value,at,some_address
act,at,time
act,at,address
act,in,process
act,at,weather
act,by,frequency
act,for,human
act,from,time
act,from,address
deliver,to,address
act,to,time
act,to,direction
deliver,to_1,human
act,with,human
act,out,process
adjective,by,degree
value,at,time
value,at,address
food,cooking_method,some_cooking_method
food,flavor,some_food_flavor
food,food_name,some_food_name
food,palatability,some_food_palatability
food,quantity,some_quantity
food,quantity,some_quantity_adj
human,ethnicity,some_ethnicity
human,quantity,some_quantity
beverage,alcohol_content,some_content
restaurant,address,some_address
restaurant,restaurant_name,some_shop_name
spu,price,some_price
spu,price,some_price_adj
spu,quantity,some_quantity
spu,quantity,some_quantity_adj
spu,rating,some_rating
spu,rating,some_direction
spu,sales_volume,some_sales_volume
spu,spu_name,some_spu_name
spu,spu_type,some_spu_type
negative_type,enum,not
condition,enum,some_condition
act,in,negative_type
act,in,condition
value,in,condition
value,in,negative_type
adjective,in,condition
adjective,in,negative_type
prep,in,condition
prep,in,negative_type
have,is_a,status
with,is_a,prep
at,is_a,prep
by,is_a,prep
for,is_a,prep
from,is_a,prep
to,is_a,prep
to_1,is_a,prep
in,is_a,prep
out,is_a,prep
process,enum,start
process,enum,middle
process,enum,happened
process,enum,end
some_pronoun,represent,human
human,want,food
human,want,spu
food,is,food
food,quantified,些
spu,quantified,些
restaurant,quantified,些
human,have,order_n
human,have,take_out
they_restaurant,ref,restaurant
another_list,contain,food
another_list,contain,spu
another_list,contain,restaurant
food,quantified,点
restaurant,quantified,点
spu,quantified,点
beverage,quantified,瓶
human,quantity,some_quantity_adj
why,inquire,act
whether,inquire,act
how,inquire,act
why,inquire,prep
whether,inquire,prep
whether,inquire,status
why,inquire,status
what,inquire,concept
