node1,node2,node3,pecategory
some_pronoun,eat,some_shop_name,MAKER_ACT_TAKER
human,eat,some_food_ingredient,MAKER_ACT_TAKER
human,like,some_food_ingredient,MAKER_ACT_TAKER
human,recommend,some_food_ingredient,MAKER_ACT_TAKER
human,want,some_food_ingredient,MAKER_ACT_TAKER
human,drink,some_food_ingredient,MAKER_ACT_TAKER
human,order,some_food_ingredient,MAKER_ACT_TAKER
human,buy,some_food_ingredient,MAKER_ACT_TAKER
human,find,some_food_ingredient,MAKER_ACT_TAKER
human,choose,some_food_ingredient,MAKER_ACT_TAKER
human,check,some_food_ingredient,MAKER_ACT_TAKER
human,add,some_food_ingredient,MAKER_ACT_TAKER
human,try,some_food_ingredient,MAKER_ACT_TAKER
human,taste,some_food_ingredient,MAKER_ACT_TAKER
human,arrange,some_food_ingredient,MAKER_ACT_TAKER
