name,relation
eat,e_act
sell,e_act
cook,e_act
deliver,e_act
order,e_act
add,e_act
recommend,e_act
check,e_act
drink,e_act
buy,e_act
have,e_status
make,e_act
adjective,e_adjective
attribute,e_attribute
enum,e_enum
is_a,e_is_a
quantified,e_quantified
value,e_value
with,e_prepa
at,e_prepa
by,e_prepa
category,e_category
for,e_prepa
from,e_prepa
to,e_prepc
to_1,e_prepc
change,e_act
place,e_act
process,e_process
modal,e_modal
condition,e_condition
in,e_prepa
out,e_prepc
ref,e_ref
want,e_act
is,e_is
contain,e_status
inquire,e_ask
find,e_act
settle,e_act
go,e_act
say,e_act
as,e_as
for_1,e_prepc
note,e_act
choose,e_act
modify,e_act
know,e_act
reach,e_act
reduce,e_act
limit,e_status
located_at,e_status
distance_to,e_status
make_up,e_act
identify_by,e_identify
ask,e_act
like,e_act
open,e_act
go_back,e_act
do,e_act
exit,e_act
demand,e_act
click,e_act
show,e_act
introduce,e_act
inform,e_act
increase,e_act
change_to,e_actprep
modify_to,e_actprep
select,e_act
search_to,e_act
search_by,e_act
push,e_act
filter_by,e_act
range,e_enum
represent,e_represent
declare,e_act
except,e_actprep
numerate,e_value
ref_to,e_is
taking,e_act
believe,e_act
arrange,e_act
try,e_act
think,e_act
set,e_act
can,e_act
hate,e_act
need,e_act
should,e_act
is_event,e_is
of,e_prepa
prefer,e_act
let,e_act
cancel,e_act
send,e_act
come,e_act
category_of,e_status
be_metered,e_attribute
consume,e_act
remain,e_act
inside,e_direct
adv,e_adv
arrive,e_act
call,e_act
taste,e_act
